Company Name,Job Title,Description,Link,Posting Date,Seniority Level,Employment Type,Job Function,Industries,Scrape Date
LITEON Technology,Data Scientist,"look into the data: analyse data and find insights of the data or hidden pattern among complex dataset.model building: based on traditional ML or cutting-edge DL technology, build regressor or forcast algorithm.knowhow catch up: work with our client, fast to build the roadmap of their knowhow, define their data sicence requirement, and find any hidden business.for more information please see:https://www.104.com.tw/job/8n12y?jobsource=m_index_s_csShow moreShow less",https://tw.linkedin.com/jobs/view/data-scientist-at-liteon-technology-4182810935?position=1&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=jQ5msOM2r%2Bhlvb7JSIwdbA%3D%3D,2025-03-15,Entry level,Full-time,Engineering and Information Technology,"Appliances, Electrical, and Electronics Manufacturing",2025-03-15T17:03:25.285234
Outlier,Coding Expertise for AI Training (Traditional Chinese),"Outlier 協助全球最具創新力的企業提升其 AI 模型的表現，透過提供人類回饋來提高 AI的運算能力。您是一名經驗豐富的軟體工程師，願意運用您的程式設計專業知識來訓練 AI 模型嗎？我們與各大組織及企業合作，訓練 AI 大型語言模型，幫助最前沿的生成式 AI 模型撰寫更優秀的程式碼。專案通常包含獨立且變化多端的問題，涉及與這些 AI 模型互動，以幫助它們學習編寫程式，不需要具備任何 AI 相關的經驗。您必須使用繁體中文來參加這個特定的人工智慧訓練機會。關於此機會：Outlier 正在尋找優秀的程式設計師來幫助訓練生成式人工智慧模型。這是一份遠端自由接案的機會，工作時間彈性，可依您的時間安排工作。您可以透過以下方式貢獻您的專業知識：撰寫與回答與計算機科學相關的問題，以協助 AI 模型訓練。評估並對 AI 模型所產生的程式碼進行排名。期望的專業能力：能夠以繁體中文流暢表達複雜概念。目前就讀或已完成計算機科學學士或更高學歷，頂尖大學學生優先考慮。精通以下一種或多種程式語言：Java、Python、JavaScript / TypeScript、C++、Swift 和 Verilog。具備優秀的細節把控能力，包括語法、標點符號與風格準則。報酬：目前，核心專案工作的程式設計專家報酬範圍為 每小時 USD $25 至 $50。具體報酬依據專業技能、評估結果、所在地區、專案需求等因素而有所不同。例如，擁有博士學位的專家可能獲得更高的報酬。非核心工作（如專案初期培訓或加班階段）可能適用較低的報酬標準。部分專案提供額外獎勵，請參閱每個專案的付款條款。如果您對這個機會感興趣，歡迎加入我們，共同推動 AI 的未來發展！Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.You must write Traditional Chinese for this specific AI training opportunityAbout the opportunity:Outlier is looking for talented coders to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for youYou may contribute your expertise by…Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI modelsExamples of desirable expertise:Ability to articulate complex concepts fluently in Traditional Chinese (required) Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++, Swift, and VerilogExcellent attention to detail, including grammar, punctuation, and style guidelinesPayment:Currently, pay rates for core project work by coding experts range from USD $25 to $50 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.Show moreShow less",https://tw.linkedin.com/jobs/view/coding-expertise-for-ai-training-traditional-chinese-at-outlier-4183202148?position=2&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=JTJ52zg5FMKeNGvvbEViRA%3D%3D,2025-03-15,Mid-Senior level,Full-time,Human Resources,Software Development,2025-03-15T17:03:29.588633
Outlier,Coding Expertise for AI Training (Traditional Chinese),"Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.About the opportunity:Outlier is looking for talented coders that also speak Traditional Chinese to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for youYou may contribute your expertise by…Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI modelsExamples of desirable expertise:Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++, Swift, and VerilogAbility to articulate complex concepts fluently in Traditional Chinese Excellent attention to detail, including grammar, punctuation, and style guidelinesPayment:Currently, pay rates for core project work by coding experts range from USD $25 to $50 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.Show moreShow less",https://tw.linkedin.com/jobs/view/coding-expertise-for-ai-training-traditional-chinese-at-outlier-4182297680?position=3&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=vkrPN8%2Fq3XQxSeQNv3vexA%3D%3D,2025-03-15,Entry level,Full-time,Human Resources,Software Development,2025-03-15T17:03:35.022619
Outlier,Coding Expertise for AI Training (Traditional Chinese),"Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.About the opportunity:Outlier is looking for talented coders that also speak Traditional Chinese to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for youYou may contribute your expertise by…Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI modelsExamples of desirable expertise:Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++, Swift, and VerilogAbility to articulate complex concepts fluently in Traditional Chinese Excellent attention to detail, including grammar, punctuation, and style guidelinesPayment:Currently, pay rates for core project work by coding experts range from USD $25 to $50 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.Show moreShow less",https://tw.linkedin.com/jobs/view/coding-expertise-for-ai-training-traditional-chinese-at-outlier-4183201289?position=4&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=Gsr5IMiIOPiwbYpV4bvjzQ%3D%3D,2025-03-15,Entry level,Full-time,Human Resources,Software Development,2025-03-15T17:03:39.181947
Outlier,Coding Expertise for AI Training (Traditional Chinese),"Outlier 協助全球最具創新力的企業提升其 AI 模型的表現，透過提供人類回饋來提高 AI的運算能力。您是一名經驗豐富的軟體工程師，願意運用您的程式設計專業知識來訓練 AI 模型嗎？我們與各大組織及企業合作，訓練 AI 大型語言模型，幫助最前沿的生成式 AI 模型撰寫更優秀的程式碼。專案通常包含獨立且變化多端的問題，涉及與這些 AI 模型互動，以幫助它們學習編寫程式，不需要具備任何 AI 相關的經驗。您必須使用繁體中文來參加這個特定的人工智慧訓練機會。關於此機會：Outlier 正在尋找優秀的程式設計師來幫助訓練生成式人工智慧模型。這是一份遠端自由接案的機會，工作時間彈性，可依您的時間安排工作。您可以透過以下方式貢獻您的專業知識：撰寫與回答與計算機科學相關的問題，以協助 AI 模型訓練。評估並對 AI 模型所產生的程式碼進行排名。期望的專業能力：能夠以繁體中文流暢表達複雜概念。目前就讀或已完成計算機科學學士或更高學歷，頂尖大學學生優先考慮。精通以下一種或多種程式語言：Java、Python、JavaScript / TypeScript、C++、Swift 和 Verilog。具備優秀的細節把控能力，包括語法、標點符號與風格準則。報酬：目前，核心專案工作的程式設計專家報酬範圍為 每小時 USD $25 至 $50。具體報酬依據專業技能、評估結果、所在地區、專案需求等因素而有所不同。例如，擁有博士學位的專家可能獲得更高的報酬。非核心工作（如專案初期培訓或加班階段）可能適用較低的報酬標準。部分專案提供額外獎勵，請參閱每個專案的付款條款。如果您對這個機會感興趣，歡迎加入我們，共同推動 AI 的未來發展！Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.You must write Traditional Chinese for this specific AI training opportunityAbout the opportunity:Outlier is looking for talented coders to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for youYou may contribute your expertise by…Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI modelsExamples of desirable expertise:Ability to articulate complex concepts fluently in Traditional Chinese (required) Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++, Swift, and VerilogExcellent attention to detail, including grammar, punctuation, and style guidelinesPayment:Currently, pay rates for core project work by coding experts range from USD $25 to $50 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.Show moreShow less",https://tw.linkedin.com/jobs/view/coding-expertise-for-ai-training-traditional-chinese-at-outlier-4183202145?position=5&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=%2F6UM3QlDMD27zwJRSIZHBw%3D%3D,2025-03-15,Mid-Senior level,Full-time,Human Resources,Software Development,2025-03-15T17:03:43.583895
Outlier,Coding Expertise for AI Training (Traditional Chinese),"Outlier 協助全球最具創新力的企業提升其 AI 模型的表現，透過提供人類回饋來提高 AI的運算能力。您是一名經驗豐富的軟體工程師，願意運用您的程式設計專業知識來訓練 AI 模型嗎？我們與各大組織及企業合作，訓練 AI 大型語言模型，幫助最前沿的生成式 AI 模型撰寫更優秀的程式碼。專案通常包含獨立且變化多端的問題，涉及與這些 AI 模型互動，以幫助它們學習編寫程式，不需要具備任何 AI 相關的經驗。您必須使用繁體中文來參加這個特定的人工智慧訓練機會。關於此機會：Outlier 正在尋找優秀的程式設計師來幫助訓練生成式人工智慧模型。這是一份遠端自由接案的機會，工作時間彈性，可依您的時間安排工作。您可以透過以下方式貢獻您的專業知識：撰寫與回答與計算機科學相關的問題，以協助 AI 模型訓練。評估並對 AI 模型所產生的程式碼進行排名。期望的專業能力：能夠以繁體中文流暢表達複雜概念。目前就讀或已完成計算機科學學士或更高學歷，頂尖大學學生優先考慮。精通以下一種或多種程式語言：Java、Python、JavaScript / TypeScript、C++、Swift 和 Verilog。具備優秀的細節把控能力，包括語法、標點符號與風格準則。報酬：目前，核心專案工作的程式設計專家報酬範圍為 每小時 USD $25 至 $50。具體報酬依據專業技能、評估結果、所在地區、專案需求等因素而有所不同。例如，擁有博士學位的專家可能獲得更高的報酬。非核心工作（如專案初期培訓或加班階段）可能適用較低的報酬標準。部分專案提供額外獎勵，請參閱每個專案的付款條款。如果您對這個機會感興趣，歡迎加入我們，共同推動 AI 的未來發展！Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.You must write Traditional Chinese for this specific AI training opportunityAbout the opportunity:Outlier is looking for talented coders to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for youYou may contribute your expertise by…Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI modelsExamples of desirable expertise:Ability to articulate complex concepts fluently in Traditional Chinese (required) Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++, Swift, and VerilogExcellent attention to detail, including grammar, punctuation, and style guidelinesPayment:Currently, pay rates for core project work by coding experts range from USD $25 to $50 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.Show moreShow less",https://tw.linkedin.com/jobs/view/coding-expertise-for-ai-training-traditional-chinese-at-outlier-4183203164?position=6&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=41qC40UJxmaE9ySDkW1U1Q%3D%3D,2025-03-15,Mid-Senior level,Full-time,Human Resources,Software Development,2025-03-15T17:03:47.759982
Outlier,Coding Expertise for AI Training (Traditional Chinese),"Outlier 協助全球最具創新力的企業提升其 AI 模型的表現，透過提供人類回饋來提高 AI的運算能力。您是一名經驗豐富的軟體工程師，願意運用您的程式設計專業知識來訓練 AI 模型嗎？我們與各大組織及企業合作，訓練 AI 大型語言模型，幫助最前沿的生成式 AI 模型撰寫更優秀的程式碼。專案通常包含獨立且變化多端的問題，涉及與這些 AI 模型互動，以幫助它們學習編寫程式，不需要具備任何 AI 相關的經驗。您必須使用繁體中文來參加這個特定的人工智慧訓練機會。關於此機會：Outlier 正在尋找優秀的程式設計師來幫助訓練生成式人工智慧模型。這是一份遠端自由接案的機會，工作時間彈性，可依您的時間安排工作。您可以透過以下方式貢獻您的專業知識：撰寫與回答與計算機科學相關的問題，以協助 AI 模型訓練。評估並對 AI 模型所產生的程式碼進行排名。期望的專業能力：能夠以繁體中文流暢表達複雜概念。目前就讀或已完成計算機科學學士或更高學歷，頂尖大學學生優先考慮。精通以下一種或多種程式語言：Java、Python、JavaScript / TypeScript、C++、Swift 和 Verilog。具備優秀的細節把控能力，包括語法、標點符號與風格準則。報酬：目前，核心專案工作的程式設計專家報酬範圍為 每小時 USD $25 至 $50。具體報酬依據專業技能、評估結果、所在地區、專案需求等因素而有所不同。例如，擁有博士學位的專家可能獲得更高的報酬。非核心工作（如專案初期培訓或加班階段）可能適用較低的報酬標準。部分專案提供額外獎勵，請參閱每個專案的付款條款。如果您對這個機會感興趣，歡迎加入我們，共同推動 AI 的未來發展！Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.You must write Traditional Chinese for this specific AI training opportunityAbout the opportunity:Outlier is looking for talented coders to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for youYou may contribute your expertise by…Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI modelsExamples of desirable expertise:Ability to articulate complex concepts fluently in Traditional Chinese (required) Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++, Swift, and VerilogExcellent attention to detail, including grammar, punctuation, and style guidelinesPayment:Currently, pay rates for core project work by coding experts range from USD $25 to $50 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.Show moreShow less",https://tw.linkedin.com/jobs/view/coding-expertise-for-ai-training-traditional-chinese-at-outlier-4182297687?position=7&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=0nJOFQ5lSAmvdOWEPIWfHQ%3D%3D,2025-03-15,Mid-Senior level,Full-time,Human Resources,Software Development,2025-03-15T17:03:52.066856
Outlier,Coding Expertise for AI Training (Traditional Chinese),"Outlier 協助全球最具創新力的企業提升其 AI 模型的表現，透過提供人類回饋來提高 AI的運算能力。您是一名經驗豐富的軟體工程師，願意運用您的程式設計專業知識來訓練 AI 模型嗎？我們與各大組織及企業合作，訓練 AI 大型語言模型，幫助最前沿的生成式 AI 模型撰寫更優秀的程式碼。專案通常包含獨立且變化多端的問題，涉及與這些 AI 模型互動，以幫助它們學習編寫程式，不需要具備任何 AI 相關的經驗。您必須使用繁體中文來參加這個特定的人工智慧訓練機會。關於此機會：Outlier 正在尋找優秀的程式設計師來幫助訓練生成式人工智慧模型。這是一份遠端自由接案的機會，工作時間彈性，可依您的時間安排工作。您可以透過以下方式貢獻您的專業知識：撰寫與回答與計算機科學相關的問題，以協助 AI 模型訓練。評估並對 AI 模型所產生的程式碼進行排名。期望的專業能力：能夠以繁體中文流暢表達複雜概念。目前就讀或已完成計算機科學學士或更高學歷，頂尖大學學生優先考慮。精通以下一種或多種程式語言：Java、Python、JavaScript / TypeScript、C++、Swift 和 Verilog。具備優秀的細節把控能力，包括語法、標點符號與風格準則。報酬：目前，核心專案工作的程式設計專家報酬範圍為 每小時 USD $25 至 $50。具體報酬依據專業技能、評估結果、所在地區、專案需求等因素而有所不同。例如，擁有博士學位的專家可能獲得更高的報酬。非核心工作（如專案初期培訓或加班階段）可能適用較低的報酬標準。部分專案提供額外獎勵，請參閱每個專案的付款條款。如果您對這個機會感興趣，歡迎加入我們，共同推動 AI 的未來發展！Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.You must write Traditional Chinese for this specific AI training opportunityAbout the opportunity:Outlier is looking for talented coders to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for youYou may contribute your expertise by…Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI modelsExamples of desirable expertise:Ability to articulate complex concepts fluently in Traditional Chinese (required) Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++, Swift, and VerilogExcellent attention to detail, including grammar, punctuation, and style guidelinesPayment:Currently, pay rates for core project work by coding experts range from USD $25 to $50 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.Show moreShow less",https://tw.linkedin.com/jobs/view/coding-expertise-for-ai-training-traditional-chinese-at-outlier-4182297685?position=8&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=hnyveQFbT4qAq%2FZVPcLVSQ%3D%3D,2025-03-15,Mid-Senior level,Full-time,Human Resources,Software Development,2025-03-15T17:03:56.372423
Outlier,Coding Expertise for AI Training (Traditional Chinese),"Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.About the opportunity:Outlier is looking for talented coders that also speak Traditional Chinese to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for youYou may contribute your expertise by…Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI modelsExamples of desirable expertise:Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++, Swift, and VerilogAbility to articulate complex concepts fluently in Traditional Chinese Excellent attention to detail, including grammar, punctuation, and style guidelinesPayment:Currently, pay rates for core project work by coding experts range from USD $25 to $50 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.Show moreShow less",https://tw.linkedin.com/jobs/view/coding-expertise-for-ai-training-traditional-chinese-at-outlier-4183200398?position=9&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=b6QMX391yD6o4vgjm0jk%2Fg%3D%3D,2025-03-15,Entry level,Full-time,Human Resources,Software Development,2025-03-15T17:04:00.577011
Outlier,Coding Expertise for AI Training (Traditional Chinese),"Outlier helps the world’s most innovative companies improve their AI models by providing human feedback. Are you an experienced software engineer who would like to lend your coding expertise to train AI models?We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. There is no requirement for previous AI experience.About the opportunity:Outlier is looking for talented coders that also speak Traditional Chinese to help train generative artificial intelligence modelsThis freelance opportunity is remote and hours are flexible, so you can work whenever is best for youYou may contribute your expertise by…Crafting and answering questions related to computer science in order to help train AI modelsEvaluating and ranking code generated by AI modelsExamples of desirable expertise:Currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institutionProficiency working with one or more of the the following languages: Java, Python, JavaScript / TypeScript, C++, Swift, and VerilogAbility to articulate complex concepts fluently in Traditional Chinese Excellent attention to detail, including grammar, punctuation, and style guidelinesPayment:Currently, pay rates for core project work by coding experts range from USD $25 to $50 per hour.Rates vary based on expertise, skills assessment, location, project need, and other factors. For example, higher rates may be offered to PhDs. For non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. Certain projects offer incentive payments. Please review the payment terms for each project.Show moreShow less",https://tw.linkedin.com/jobs/view/coding-expertise-for-ai-training-traditional-chinese-at-outlier-4183201287?position=10&pageNum=0&refId=Pmsl%2FuceyFJI6LiDlpNbag%3D%3D&trackingId=0NezDbo5%2FSW5Co6RxRBoMw%3D%3D,2025-03-15,Entry level,Full-time,Human Resources,Software Development,2025-03-15T17:04:04.776614
